Campus,StudyField,Branch,Role,EduLevel,ProgLang,Databases,Platform,WebFramework,Industry,AISearch,AITool,Employment
Durban Campus,It,I Am A Developer By Profession,"Developer, Back-End","Associate Degree (A.a., A.s., Etc.)",Elixir;Go;Java;Javascript;Php;Ruby,Mysql;Postgresql;Redis,Amazon Web Services (Aws);Digital Ocean;Google Cloud;Microsoft Azure;Vmware,Jquery;Node.js;Spring Boot;Wordpress,Wholesale,Chatgpt,Codeium;Github Copilot;Synk Code,"Employed, Full-Time"
Midrand Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Go;Html/Css;Javascript;Python;Sql;Typescript,Postgresql,Amazon Web Services (Aws);Cloudflare;Google Cloud;Netlify,Next.js;Node.js;React;Vue.js,Retail And Consumer Services,Unknown,Aws Codewhisperer,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Back-End","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Java;Javascript;Lua;Python;Sql;Typescript,Cassandra;H2;Mariadb;Mysql;Postgresql;Sqlite,Amazon Web Services (Aws);Heroku;Hetzner,Angularjs;Node.js;Spring Boot,Oil & Gas,Chatgpt,Adrenaline;Tabnine,"Employed, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack",Some College/University Study Without Earning A Degree,C#;Html/Css;Javascript;Sql;Typescript,Elasticsearch;Microsoft Sql Server;Sqlite,Microsoft Azure,Angular;Asp.net;Asp.net Core;Blazor;Jquery,Financial Services,Chatgpt;Google Bard Ai,Rubber Duck.ai,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Java;Javascript;Kotlin;Powershell;Python;Typescript,Mariadb;Mysql;Redis,Digital Ocean;Microsoft Azure,Asp.net Core;Flask;Next.js;React,Insurance,Unknown,Aws Codewhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine,"Employed, Full-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Front-End","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Html/Css;Javascript;Php;Typescript,Mysql;Supabase,Netlify;Vercel,Jquery;Node.js;Nuxt.js;React;Vue.js;Wordpress,Oil & Gas,Chatgpt,Codeium;Github Copilot,"Employed, Full-Time"
Midrand Campus,Data Science,I Am Learning To Code,Unknown,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Html/Css;Javascript;Php;Powershell;Sql;Typescript,Mongodb;Mysql,Firebase;Google Cloud;Microsoft Azure;Netlify;Vercel;Vmware,Angular;Angularjs;Blazor;Express;Next.js;Node.js;Remix;Svelte;Vue.js;Wordpress,"Information Services, It, Software Development, Or Other Technology",Chatgpt,Github Copilot;Rubber Duck.ai,"Student, Full-Time"
Pretoria Campus,Data Science,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Html/Css;Javascript;Powershell;Sql;Typescript,Microsoft Sql Server,Microsoft Azure,Angular;Asp.net;Asp.net Core;Node.js,Oil & Gas,Unknown,Aws Codewhisperer;Codeium;Github Copilot;Mintlify,"Employed, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Am Learning To Code,Unknown,"Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",C++;Html/Css;Javascript;Php;Python;Sql,Mariadb,Unknown,Flask,Other,Chatgpt;Wolframalpha,Aws Codewhisperer;Github Copilot,"Student, Full-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Mobile","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Java;Javascript;Kotlin;Sql;Typescript,Firebase Realtime Database;Microsoft Sql Server;Sqlite,Unknown,Node.js;React;Spring Boot,Healthcare,Chatgpt,Adrenaline;Github Copilot;Rubber Duck.ai;Tabnine,"Employed, Full-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Javascript;Typescript,Mongodb,Amazon Web Services (Aws);Google Cloud,Angular;Node.js,Retail And Consumer Services,Chatgpt,Adrenaline;Synk Code;Whispr Ai,"Independent Contractor, Freelancer, Or Self-Employed"
Nelson Mandela Bay Campus,Data Science,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Python;Sql,Elasticsearch;Influxdb;Mongodb;Postgresql;Redis,Digital Ocean,Fastapi,Oil & Gas,Unknown,Adrenaline;Synk Code;Whispr Ai,"Employed, Full-Time"
Pretoria Campus,Computer Science,I Am Learning To Code,Unknown,Some College/University Study Without Earning A Degree,Html/Css;Java;Javascript;Lua;Python,Sqlite,Vercel,Jquery;Node.js,Oil & Gas,Unknown,Aws Codewhisperer;Replit Ghostwriter,"Student, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Powershell;Sql;Typescript,Microsoft Sql Server,Unknown,Asp.net Core,"Information Services, It, Software Development, Or Other Technology",Unknown,Codeium;Synk Code;Whispr Ai,"Employed, Full-Time"
Mbombela Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Javascript;Typescript,Mongodb;Postgresql,Google Cloud;Heroku,Express;Node.js;React,"Information Services, It, Software Development, Or Other Technology",Chatgpt,Rubber Duck.ai;Synk Code,"Not Employed, But Looking For Work"
Mbombela Campus,Computer Science,I Am A Developer By Profession,Unknown,"Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",C#;Dart;Html/Css;Java;Javascript;Php;Powershell;Sql;Typescript,Cloud Firestore;Microsoft Sql Server;Mongodb,Microsoft Azure,Asp.net;Asp.net Core;Blazor,"Manufacturing, Transportation, Or Supply Chain",Unknown,Favorable,"Student, Full-Time"
Pretoria Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Javascript;Typescript,Mysql,Amazon Web Services (Aws),Angular;Next.js;Node.js,Retail And Consumer Services,Chatgpt,Aws Codewhisperer;Codeium;Github Copilot,"Employed, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,Academic Researcher,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;C++;Html/Css;Javascript;Matlab;R,Microsoft Sql Server,Unknown,Asp.net,Advertising Services,Chatgpt,Codeium;Github Copilot;Tabnine,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Html/Css;Javascript;Python;Sql;Typescript,Cloud Firestore;Elasticsearch;Mongodb;Postgresql;Redis,Amazon Web Services (Aws);Cloudflare;Digital Ocean;Heroku,Express;Nestjs;Node.js,Legal Services,Unknown,Aws Codewhisperer;Tabnine,"Independent Contractor, Freelancer, Or Self-Employed"
Midrand Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Professional Degree (Jd, Md, Ph.d, Ed.d, Etc.)",Html/Css;Javascript;Python;Ruby;Sql,Mongodb;Postgresql;Redis,Amazon Web Services (Aws);Heroku,Jquery;Ruby On Rails;Vue.js,Advertising Services,Unknown,Adrenaline;Aws Codewhisperer;Codeium;Mintlify;Rubber Duck.ai;Synk Code;Tabnine,"Independent Contractor, Freelancer, Or Self-Employed"
Pretoria Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Html/Css;Javascript;Php;Sql,Mysql;Postgresql,Unknown,Jquery,Insurance,Chatgpt,Aws Codewhisperer;Replit Ghostwriter;Tabnine,"Employed, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Code Primarily As A Hobby,Unknown,Something Else,Java;Javascript;Kotlin;Lua;Php;Python,Sqlite,Digital Ocean,Django;Flask,"Manufacturing, Transportation, Or Supply Chain",Chatgpt;Wolframalpha,Mintlify;Synk Code,I Prefer Not To Say
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Go;Html/Css;Java;Javascript;Kotlin;Php;Python;Sql;Typescript,Elasticsearch;H2;Mongodb;Mysql;Postgresql;Redis;Sqlite,Amazon Web Services (Aws);Digital Ocean;Google Cloud;Microsoft Azure,Angular;Angularjs;Express;Laravel;Node.js;Spring Boot,Advertising Services,Bing Ai;Chatgpt,Aws Codewhisperer;Codeium;Tabnine;Whispr Ai,"Employed, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack",Some College/University Study Without Earning A Degree,Html/Css;Java;Javascript;Sql,H2;Mariadb,Unknown,Node.js;Spring Boot,"Manufacturing, Transportation, Or Supply Chain",Unknown,Adrenaline;Aws Codewhisperer;Github Copilot;Replit Ghostwriter;Whispr Ai,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Dart;Go;Html/Css;Java;Javascript;Php;Python;Sql,Cloud Firestore;Firebase Realtime Database;Mariadb;Microsoft Sql Server;Mongodb;Mysql;Oracle;Postgresql;Redis;Sqlite,Firebase;Google Cloud;Managed Hosting,Django;Express;Fastapi;Fastify;Flask;Jquery;Laravel;Node.js;Wordpress,Advertising Services,Bing Ai;Chatgpt,Adrenaline;Github Copilot;Rubber Duck.ai,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed;Employed, Part-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",C;Html/Css;Java;Javascript;Php;Sql;Typescript,Elasticsearch;Mariadb;Mongodb;Mysql;Redis,Amazon Web Services (Aws);Cloudflare;Microsoft Azure;Vmware,Angular;Jquery;Node.js;React;Wordpress,Other,Chatgpt,Aws Codewhisperer;Synk Code,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack",Some College/University Study Without Earning A Degree,Bash/Shell (All Shells);C;Html/Css;Javascript;Typescript,Elasticsearch;Postgresql;Redis,Amazon Web Services (Aws),Angular;Nestjs;Node.js,Insurance,Unknown,Adrenaline;Aws Codewhisperer;Codeium;Github Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.ai;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Midrand Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);C#;Html/Css;Javascript;Powershell;Python;Sql,Microsoft Sql Server,Microsoft Azure,Asp.net Core;Blazor,Advertising Services,Unknown,Aws Codewhisperer;Codeium;Replit Ghostwriter;Synk Code;Tabnine,"Employed, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Html/Css;Javascript;Python;Typescript,Firebase Realtime Database;Mongodb,Unknown,Angular;Angularjs;Node.js;Vue.js,Oil & Gas,Bing Ai;Chatgpt;Google Bard Ai;Wolframalpha;You.com,Aws Codewhisperer;Codeium;Github Copilot;Synk Code;Tabnine,"Employed, Full-Time"
Nelson Mandela Bay Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C;C#;C++;Html/Css;Java;Javascript;Lua;Php;Powershell;R;Sql;Visual Basic (.Net),Mariadb;Microsoft Sql Server;Mongodb;Mysql,Google Cloud;Heroku;Microsoft Azure;Netlify;Vmware,Asp.net;Asp.net Core;Express;Node.js;Vue.js;Wordpress,Insurance,Chatgpt,Github Copilot;Mintlify,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed;Student, Part-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Associate Degree (A.a., A.s., Etc.)",Bash/Shell (All Shells);C#;Go;Html/Css;Java;Javascript;Powershell;Python;Sql;Typescript,Elasticsearch;Microsoft Sql Server;Postgresql;Redis,Unknown,Asp.net Core;Jquery;Node.js;Vue.js,Higher Education,Chatgpt,Codeium;Replit Ghostwriter,"Employed, Full-Time"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Back-End","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Html/Css;Java;Javascript;Kotlin;Sql;Typescript,Firebase Realtime Database;H2;Ibm Db2;Oracle;Postgresql;Redis,Amazon Web Services (Aws);Digital Ocean;Firebase;Heroku;Oracle Cloud Infrastructure (Oci),Express;Node.js;React;Spring Boot,Oil & Gas,Unknown,Aws Codewhisperer;Github Copilot;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Desktop Or Enterprise Applications","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C#;Powershell;Visual Basic (.Net),Mariadb;Mongodb;Mysql,Netlify;Vercel,Asp.net Core;Nestjs;Next.js;Node.js;React,"Information Services, It, Software Development, Or Other Technology",Unknown,Adrenaline;Github Copilot;Rubber Duck.ai;Tabnine,"Employed, Full-Time"
Durban Campus,Computer Science,I Am A Developer By Profession,"Senior Executive (C-Suite, Vp, Etc.)","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",C#;Go;Groovy;Html/Css;Java;Javascript;Php;Powershell;Sql;Typescript,Cockroachdb;Cosmos Db;Elasticsearch;Mariadb;Mysql;Oracle;Postgresql;Redis,Digital Ocean;Microsoft Azure,Angular;Angularjs;Spring Boot;Vue.js;Wordpress,Insurance,Bing Ai;Chatgpt,Adrenaline;Codeium;Github Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.ai;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Midrand Campus,Computer Science,I Code Primarily As A Hobby,Student,"Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Bash/Shell (All Shells);C;C#;C++;Html/Css;Python,Mysql,Amazon Web Services (Aws),Node.js;Wordpress,Retail And Consumer Services,Chatgpt,Github Copilot;Synk Code;Whispr Ai,"Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack",Something Else,C#;Crystal;Html/Css;Sql;Visual Basic (.Net),Microsoft Access;Microsoft Sql Server;Sqlite,Microsoft Azure,Asp.net Core,Other,Unknown,Codeium;Tabnine,"Independent Contractor, Freelancer, Or Self-Employed"
Mbombela Campus,Computer Science,I Am A Developer By Profession,"Developer, Desktop Or Enterprise Applications","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Html/Css;Java;Javascript;Objective-C;Php;Powershell;Python;Sql,Couch Db;Elasticsearch;Mariadb;Microsoft Sql Server;Mongodb;Mysql;Redis;Sqlite,Unknown,Jquery,Retail And Consumer Services,Unknown,Aws Codewhisperer,"Independent Contractor, Freelancer, Or Self-Employed"
Midrand Campus,Data Science,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies",System Administrator,"Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",C#;Go;Java;Python,Mariadb;Postgresql;Sqlite,Vmware,Asp.net Core;Wordpress,Wholesale,Wolframalpha,Codeium;Replit Ghostwriter,"Employed, Part-Time"
Mbombela Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);Html/Css;Java;Javascript;Kotlin,Postgresql,Amazon Web Services (Aws);Managed Hosting;Openshift,Angular;Spring Boot,Oil & Gas,Unknown,Aws Codewhisperer;Replit Ghostwriter;Rubber Duck.ai;Tabnine,"Employed, Full-Time"
Durban Campus,It,I Am A Developer By Profession,"Developer, Back-End",Something Else,Java,Mysql;Solr,Amazon Web Services (Aws),React;Spring Boot,Wholesale,Unknown,Adrenaline;Codeium;Github Copilot,"Independent Contractor, Freelancer, Or Self-Employed"
Nelson Mandela Bay Campus,Data Science,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Dart;Html/Css;Javascript;Php;Sql;Typescript,Mariadb;Mongodb;Mysql;Postgresql;Redis,Amazon Web Services (Aws);Digital Ocean;Google Cloud;Netlify;Vercel,Express;Node.js,Other,Chatgpt,Mintlify,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Nelson Mandela Bay Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Javascript,Mysql,Microsoft Azure,Express;Node.js;React,"Manufacturing, Transportation, Or Supply Chain",Chatgpt,Aws Codewhisperer;Github Copilot;Synk Code;Tabnine;Whispr Ai,"Employed, Part-Time"
Pretoria Campus,It,I Am A Developer By Profession,Engineering Manager,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Dart;Java;Javascript;Kotlin;Ruby;Sql;Swift;Typescript,Influxdb;Microsoft Sql Server;Mongodb;Postgresql;Ravendb;Redis;Sqlite,Amazon Web Services (Aws);Cloudflare;Microsoft Azure,Asp.net Core;Blazor;Nestjs;Node.js;React,Healthcare,Bing Ai;Chatgpt;Phind,Aws Codewhisperer;Synk Code,"Employed, Full-Time;Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Associate Degree (A.a., A.s., Etc.)",C#;Javascript;Sql;Visual Basic (.Net),Ibm Db2;Microsoft Sql Server,Unknown,Asp.net Core,Oil & Gas,Unknown,Mintlify,"Employed, Full-Time"
Midrand Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);C#;C++;Html/Css;Javascript;Lua;Powershell;Python;Sql;Vba,Microsoft Sql Server;Sqlite,Unknown,Node.js;React,"Information Services, It, Software Development, Or Other Technology",Unknown,Adrenaline;Codeium;Github Copilot;Mintlify;Replit Ghostwriter;Rubber Duck.ai;Synk Code;Tabnine;Whispr Ai,"Employed, Full-Time"
Midrand Campus,Computer Science,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Html/Css;Javascript;Powershell;Sql;Typescript,Cosmos Db;Microsoft Sql Server,Microsoft Azure,Angular;Asp.net;Asp.net Core;Node.js,"Information Services, It, Software Development, Or Other Technology",Unknown,Github Copilot;Mintlify,"Employed, Full-Time"
Pretoria Campus,Data Science,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies",Project Manager,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Html/Css;Javascript;Powershell;Python;Sql;Vba,Microsoft Sql Server,Digital Ocean;Microsoft Azure,Node.js,Financial Services,Unknown,Mintlify,"Employed, Full-Time"
Mbombela Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Bash/Shell (All Shells);C#;Html/Css;Javascript;Python;R;Sql;Typescript;Vba,Mariadb;Microsoft Sql Server;Mysql,Amazon Web Services (Aws);Firebase;Microsoft Azure,Asp.net;Asp.net Core;Django;React;Vue.js,Wholesale,Chatgpt,Github Copilot;Replit Ghostwriter,"Employed, Full-Time"
Mbombela Campus,It,I Am A Developer By Profession,Other (Please Specify):,"Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",Go;Javascript;Python,Dynamodb;Postgresql,Amazon Web Services (Aws),React,Oil & Gas,Bing Ai;Chatgpt;Google Bard Ai,Codeium;Github Copilot;Replit Ghostwriter;Tabnine,"Employed, Full-Time"
Durban Campus,Computer Science,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies",Cloud Infrastructure Engineer,Primary/Elementary School,Html/Css;Javascript;Php;Python,Mongodb;Mysql;Postgresql;Sqlite,Hetzner,Angularjs;Express;Node.js;Vue.js,Advertising Services,Unknown,Adrenaline;Github Copilot;Rubber Duck.ai;Tabnine,"Employed, Full-Time"
Nelson Mandela Bay Campus,It,I Am A Developer By Profession,"Developer, Full-Stack","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;Html/Css;Javascript;Typescript,Dynamodb;Postgresql,Amazon Web Services (Aws);Digital Ocean;Google Cloud,Express;Node.js;Nuxt.js;React;Vue.js,Insurance,Unknown,Github Copilot;Synk Code;Tabnine,"Employed, Full-Time"
Nelson Mandela Bay Campus,It,I Am A Developer By Profession,Research & Development Role,"Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Bash/Shell (All Shells);Powershell;Python,Mongodb;Neo4j,Unknown,Fastapi,Higher Education,Unknown,Aws Codewhisperer;Github Copilot;Mintlify,"Employed, Full-Time;Student, Full-Time"
Nelson Mandela Bay Campus,Computer Science,I Am A Developer By Profession,Data Scientist Or Machine Learning Specialist,"Professional Degree (Jd, Md, Ph.d, Ed.d, Etc.)",Bash/Shell (All Shells);C#;Html/Css;Matlab;Python;R;Sql,Microsoft Sql Server;Mysql;Oracle;Postgresql,Amazon Web Services (Aws);Google Cloud;Microsoft Azure;Vmware,Fastapi,Advertising Services,Chatgpt,Aws Codewhisperer;Codeium;Github Copilot;Mintlify;Replit Ghostwriter;Tabnine;Whispr Ai,"Employed, Full-Time"
Pretoria Campus,Computer Science,I Am A Developer By Profession,"Developer, Back-End","Bachelor’s Degree (B.a., B.s., B.eng., Etc.)",C#;C++;Html/Css;Javascript;Powershell;Typescript,Microsoft Sql Server;Oracle;Postgresql;Sqlite,Amazon Web Services (Aws);Microsoft Azure,Angular;Asp.net;Asp.net Core,Other,Unknown,Github Copilot;Mintlify;Replit Ghostwriter,"Independent Contractor, Freelancer, Or Self-Employed"
Durban Campus,Data Science,I Am A Developer By Profession,"Developer, Full-Stack","Secondary School (E.g. American High School, German Realschule Or Gymnasium, Etc.)",Bash/Shell (All Shells);C#;Html/Css;Javascript;Php;Powershell;Sql,Microsoft Sql Server;Mysql,Unknown,Angular;Asp.net;Asp.net Core;Jquery;Node.js;Wordpress,Retail And Consumer Services,Bing Ai;Chatgpt,Aws Codewhisperer;Github Copilot;Synk Code,"Employed, Full-Time;Student, Full-Time"
Durban Campus,It,"I Am Not Primarily A Developer, But I Write Code Sometimes As Part Of My Work/Studies","Developer, Full-Stack","Master’s Degree (M.a., M.s., M.eng., Mba, Etc.)",Javascript;Python;Sql;Typescript,Cosmos Db;Postgresql;Solr,Microsoft Azure;Scaleway,Fastapi;Node.js;React,"Manufacturing, Transportation, Or Supply Chain",Chatgpt,Adrenaline;Aws Codewhisperer,"Employed, Full-Time;Student, Full-Time"
